Species	Cell	Time	State	Plate	Well	Experiment	Dish	Volume	260/280	Nanodrop	QuBit	RNA.Vol	H2O.Vol
Human	A	48	SOR+ENT	1	G2	8	4	30	1.93	17.4	20.6	7.28 	22.72 
Human	A	48	DTP	1	G3	8	5	30	1.93	146.6	153	0.98 	29.02 
Human	A	48	SOR+DTP	1	G4	8	6	30	1.86	98.8	121	1.24 	28.76 
Human	A	48	DIC	1	G5	8	7	30	1.86	90.2	113	1.33 	28.67 
Human	A	48	DIC	1	G6	8	8	30	1.86	99.3	102	1.47 	28.53 
Human	A	48	SOR+DIC	1	G7	8	9	30	1.92	12.1	87.4	1.72 	28.28 
Human	A	48	LOP	1	G8	8	11	30.00876424	1.86	114.1	191	0.79 	29.21 
Human	A	48	SUN+LOP	1	G9	8	12	30	1.87	95.4	185	0.81 	29.19 
Human	A	48	ALE	1	G10	8	13	30	1.85	231.2	206	0.73 	29.27 
Human	A	48	SUN+ALE	1	G11	8	14	30	1.83	210.6	220	0.68 	29.32 
Human	A	48	PAR	1	G12	8	15	30	1.84	173.5	179	0.84 	29.16 
Human	A	48	PAR	1	H1	8	16	30	1.85	228.2	206	0.73 	29.27 
Human	A	48	SUN+PAR	1	H2	8	17	30	1.81	169.5	200	0.75 	29.25 
Human	A	48	SUN+PAR	1	H3	8	18	30	1.84	217.2	184	0.82 	29.18 
Human	A	48	IMA	1	H4	8	19	30	1.84	254.6	242	0.62 	29.38 
Human	A	48	CRI	1	H5	8	20	30	1.82	176.3	232	0.65 	29.35 
Human			Mehdi-1	1	H6				1.75	186.2	220	0.68 	29.32 
Human			Mehdi-2	1	H7				1.76	128	183	0.82 	29.18 
Human			Mehdi-3	1	H8				1.74	71.2	93.8	1.60 	28.40 
Human	A	48	CTRL-DMSO	1	H9	5	2	30	1.76	125	162	0.93 	29.07 
Human	A	48	CTRL-DMSO	1	H10	5	2	30	1.76	125	162	0.93 	29.07 
Human	A	48	TRS	1	H11	5	10	30	1.77	135.6	160	0.94 	29.06 
Human	A	48	TRS	1	H12	5	10	30	1.77	135.6	160	0.94 	29.06 
